Date,Fiscal Year,Fiscal Quarter,Month,Full Date
04/03/2018,FY2018,FY2018 Q4,2018-04-01,"Apr 03, 2018"
20180404,FY2018,FY2018 Q4,04/01/2018,2018-04-04
2018-04-05,FY2018,FY2018 Q4,01-04-2018,2018-04-05 00:00:00
04/06/2018,FY2018,FY2018 Q4,2018-04-01 00:00:00,20180406
07-04-2018,FY2018,FY2018 Q4,20180401,04/07/2018
04/08/2018,FY2018,FY2018 Q4,2018-04-01 00:00:00,"Apr 08, 2018"
20180409,FY2018,FY2018 Q4,2018-04-01,04/09/2018
"Apr 10, 2018",FY2018,FY2018 Q4,20180401,2018-04-10
20180411,FY2018,FY2018 Q4,2018-04-01 00:00:00,"Apr 11, 2018"
04/12/2018,FY2018,FY2018 Q4,"Apr 01, 2018",2018-04-12 00:00:00
04/13/2018,FY2018,FY2018 Q4,04/01/2018,20180413
2018-04-14,FY2018,FY2018 Q4,20180401,2018-04-14
"Apr 15, 2018",FY2018,FY2018 Q4,2018-04-01,15-04-2018
04/16/2018,FY2018,FY2018 Q4,2018-04-01,2018-04-16
04/17/2018,FY2018,FY2018 Q4,2018-04-01,20180417
18-04-2018,FY2018,FY2018 Q4,2018-04-01 00:00:00,2018-04-18
19-04-2018,2018,FY2018 Q4,01-04-2018,2018-04-19
20-04-2018,FY-2018,FY2018 Q4,20180401,20180420
2018-04-21,FY2018,FY2018 Q4,20180401,20180421
"Apr 22, 2018",2018,FY2018 Q4,04/01/2018,2018-04-22
2018-04-23,FY2018,FY2018 Q4,2018-04-01,20180423
20180424,FY2018,FY2018 Q4,20180401,"Apr 24, 2018"
"Apr 25, 2018",2018,FY2018 Q4,04/01/2018,2018-04-25
26-04-2018,FY2018,FY2018 Q4,01-04-2018,04/26/2018
2018-04-27,FY2018,FY2018 Q4,20180401,20180427
"Apr 28, 2018",FY2018,FY2018 Q4,"Apr 01, 2018",20180428
20180429,FY2018,FY2018 Q4,20180401,2018-04-29
"Apr 30, 2018",FY-2018,FY2018 Q4,04/01/2018,30-04-2018
20180501,2018,FY2018 Q4,2018-05-01 00:00:00,"May 01, 2018"
05/02/2018,FY2018,FY2018 Q4,01-05-2018,2018-05-02
2018-05-03 00:00:00,FY2018,FY2018 Q4,01-05-2018,03-05-2018
"May 04, 2018",FY2018,FY2018 Q4,2018-05-01,2018-05-04
20180505,2018,FY2018 Q4,01-05-2018,2018-05-05
2018-05-06,FY2018,FY2018 Q4,01-05-2018,20180506
"May 07, 2018",2018,FY2018 Q4,01-05-2018,2018-05-07 00:00:00
05/08/2018,FY2018,FY2018 Q4,20180501,"May 08, 2018"
2018-05-09 00:00:00,FY2018,FY2018 Q4,01-05-2018,2018-05-09 00:00:00
10-05-2018,FY2018,FY2018 Q4,20180501,2018-05-10 00:00:00
2018-05-11,FY2018,FY2018 Q4,05/01/2018,20180511
2018-05-12,FY2018,FY2018 Q4,2018-05-01,20180512
2018-05-13,FY2018,FY2018 Q4,2018-05-01 00:00:00,"May 13, 2018"
2018-05-14 00:00:00,FY2018,FY2018 Q4,2018-05-01,20180514
2018-05-15,2018,FY2018 Q4,20180501,2018-05-15 00:00:00
20180516,FY-2018,FY2018 Q4,"May 01, 2018",05/16/2018
20180517,FY2018,FY2018 Q4,"May 01, 2018",2018-05-17
18-05-2018,FY-2018,,01-05-2018,"May 18, 2018"
"May 19, 2018",FY2018,FY2018 Q4,"May 01, 2018","May 19, 2018"
20-05-2018,2018,,05/01/2018,20-05-2018
"May 21, 2018",2018,FY2018 Q4,20180501,20180521
22-05-2018,FY2018,FY2018 Q4,20180501,20180522
05/23/2018,FY2018,FY2018 Q4,05/01/2018,2018-05-23
2018-05-24 00:00:00,FY2018,FY2018 Q4,20180501,"May 24, 2018"
"May 25, 2018",FY2018,FY2018 Q4,2018-05-01 00:00:00,"May 25, 2018"
05/26/2018,FY2018,FY2018 Q4,2018-05-01 00:00:00,20180526
2018-05-27,FY2018,FY2018 Q4,2018-05-01,2018-05-27 00:00:00
2018-05-28,FY2018,FY2018 Q4,2018-05-01,2018-05-28
29-05-2018,FY2018,FY2018 Q4,"May 01, 2018","May 29, 2018"
20180530,FY2018,FY2018 Q4,2018-05-01 00:00:00,20180530
2018-05-31,FY2018,FY2018 Q4,"May 01, 2018",31-05-2018
06/01/2018,FY2018,FY2018 Q4,"Jun 01, 2018","Jun 01, 2018"
2018-06-02 00:00:00,FY2018,FY2018 Q4,01-06-2018,20180602
03-06-2018,FY2018,FY2018 Q4,06/01/2018,2018-06-03
2018-06-04 00:00:00,FY2018,FY2018 Q4,"Jun 01, 2018",06/04/2018
2018-06-05 00:00:00,FY2018,FY2018 Q4,06/01/2018,06/05/2018
20180606,FY2018,FY2018 Q4,2018-06-01,"Jun 06, 2018"
2018-06-07,FY2018,,2018-06-01,"Jun 07, 2018"
2018-06-08 00:00:00,FY-2018,FY2018 Q4,01-06-2018,06/08/2018
"Jun 09, 2018",FY-2018,FY2018 Q4,"Jun 01, 2018",2018-06-09
"Jun 10, 2018",FY2018,FY2018 Q4,2018-06-01 00:00:00,"Jun 10, 2018"
2018-06-11 00:00:00,FY2018,FY2018 Q4,01-06-2018,2018-06-11 00:00:00
2018-06-12 00:00:00,FY2018,FY2018 Q4,20180601,20180612
20180613,FY2018,FY2018 Q4,"Jun 01, 2018","Jun 13, 2018"
2018-06-14,FY2018,FY2018 Q4,2018-06-01 00:00:00,"Jun 14, 2018"
20180615,FY2018,FY2018 Q4,2018-06-01,15-06-2018
16-06-2018,FY2018,FY2018 Q4,20180601,2018-06-16 00:00:00
"Jun 17, 2018",FY2018,FY2018 Q4,01-06-2018,20180617
2018-06-18 00:00:00,FY2018,FY2018 Q4,20180601,20180618
06/19/2018,FY2018,FY2018 Q4,2018-06-01,"Jun 19, 2018"
20180620,2018,FY2018 Q4,"Jun 01, 2018","Jun 20, 2018"
21-06-2018,FY2018,FY2018 Q4,"Jun 01, 2018","Jun 21, 2018"
"Jun 22, 2018",FY2018,FY2018 Q4,2018-06-01,"Jun 22, 2018"
2018-06-23,FY2018,FY2018 Q4,2018-06-01 00:00:00,06/23/2018
24-06-2018,FY-2018,FY2018 Q4,01-06-2018,24-06-2018
25-06-2018,FY2018,FY2018 Q4,2018-06-01,06/25/2018
20180626,FY2018,FY2018 Q4,"Jun 01, 2018",20180626
"Jun 27, 2018",FY2018,,2018-06-01 00:00:00,27-06-2018
2018-06-28,FY2018,FY2018 Q4,"Jun 01, 2018","Jun 28, 2018"
2018-06-29 00:00:00,2018,FY2018 Q4,2018-06-01,20180629
30-06-2018,FY2018,FY2018 Q4,2018-06-01 00:00:00,"Jun 30, 2018"
2018-01-01 00:00:00,2018,FY2018 Q3,01/01/2018,2018-01-01 00:00:00
"Jan 02, 2018",FY2018,FY2018 Q3,01-01-2018,20180102
01/03/2018,FY2018,FY2018 Q3,01-01-2018,"Jan 03, 2018"
2018-01-04,FY2018,FY2018 Q3,20180101,2018-01-04 00:00:00
05-01-2018,FY2018,FY2018 Q3,2018-01-01 00:00:00,20180105
20180106,FY2018,FY2018 Q3,01/01/2018,01/06/2018
2018-01-07,FY2018,FY2018 Q3,"Jan 01, 2018",20180107
01/08/2018,FY2018,FY2018 Q3,"Jan 01, 2018",08-01-2018
20180109,FY2018,FY2018 Q3,01/01/2018,"Jan 09, 2018"
2018-01-10 00:00:00,2018,FY2018 Q3,20180101,01/10/2018
"Jan 11, 2018",FY2018,FY2018 Q3,2018-01-01,2018-01-11 00:00:00
"Jan 12, 2018",FY2018,FY2018 Q3,20180101,01/12/2018
2018-01-13,FY2018,FY2018 Q3,01/01/2018,2018-01-13
01/14/2018,FY2018,FY2018 Q3,01-01-2018,2018-01-14
20180115,FY-2018,FY2018 Q3,2018-01-01 00:00:00,"Jan 15, 2018"
20180116,2018,FY2018 Q3,20180101,2018-01-16 00:00:00
17-01-2018,FY2018,FY2018 Q3,2018-01-01,20180117
18-01-2018,FY2018,FY2018 Q3,"Jan 01, 2018",2018-01-18
2018-01-19,FY-2018,FY2018 Q3,20180101,19-01-2018
01/20/2018,FY2018,FY2018 Q3,01/01/2018,20-01-2018
2018-01-21,FY2018,FY2018 Q3,20180101,20180121
2018-01-22 00:00:00,FY2018,FY2018 Q3,01/01/2018,22-01-2018
2018-01-23,FY2018,FY2018 Q3,2018-01-01,"Jan 23, 2018"
24-01-2018,FY2018,FY2018 Q3,01-01-2018,24-01-2018
2018-01-25 00:00:00,FY2018,FY2018 Q3,"Jan 01, 2018",2018-01-25
2018-01-26,FY2018,FY2018 Q3,01/01/2018,2018-01-26
2018-01-27,FY2018,FY2018 Q3,2018-01-01 00:00:00,01/27/2018
"Jan 28, 2018",FY2018,FY2018 Q3,2018-01-01,01/28/2018
"Jan 29, 2018",FY2018,FY2018 Q3,"Jan 01, 2018",20180129
30-01-2018,FY2018,FY2018 Q3,2018-01-01,20180130
20180131,FY2018,FY2018 Q3,01/01/2018,01/31/2018
01-02-2018,FY2018,FY2018 Q3,20180201,2018-02-01 00:00:00
02-02-2018,FY2018,FY2018 Q3,02/01/2018,2018-02-02 00:00:00
20180203,FY2018,FY2018 Q3,02/01/2018,2018-02-03
02/04/2018,FY2018,FY2018 Q3,"Feb 01, 2018",2018-02-04
"Feb 05, 2018",FY2018,FY2018 Q3,2018-02-01 00:00:00,05-02-2018
"Feb 06, 2018",FY2018,FY2018 Q3,02/01/2018,20180206
2018-02-07,FY2018,FY2018 Q3,"Feb 01, 2018",20180207
"Feb 08, 2018",FY2018,FY2018 Q3,2018-02-01 00:00:00,2018-02-08 00:00:00
09-02-2018,FY2018,FY2018 Q3,2018-02-01,"Feb 09, 2018"
02/10/2018,FY2018,FY2018 Q3,01-02-2018,2018-02-10
20180211,FY2018,FY2018 Q3,01-02-2018,11-02-2018
12-02-2018,2018,FY2018 Q3,2018-02-01,2018-02-12
2018-02-13,FY2018,FY2018 Q3,2018-02-01 00:00:00,"Feb 13, 2018"
20180214,FY2018,FY2018 Q3,02/01/2018,02/14/2018
02/15/2018,FY2018,FY2018 Q3,2018-02-01,"Feb 15, 2018"
"Feb 16, 2018",FY2018,FY2018 Q3,2018-02-01 00:00:00,02/16/2018
02/17/2018,FY2018,FY2018 Q3,"Feb 01, 2018",17-02-2018
"Feb 18, 2018",FY-2018,FY2018 Q3,2018-02-01 00:00:00,20180218
19-02-2018,FY2018,FY2018 Q3,02/01/2018,19-02-2018
2018-02-20,FY2018,FY2018 Q3,01-02-2018,"Feb 20, 2018"
20180221,2018,FY2018 Q3,"Feb 01, 2018",2018-02-21 00:00:00
02/22/2018,FY2018,FY2018 Q3,2018-02-01,2018-02-22
23-02-2018,FY2018,FY2018 Q3,2018-02-01 00:00:00,2018-02-23 00:00:00
24-02-2018,FY-2018,FY2018 Q3,2018-02-01,02/24/2018
02/25/2018,FY2018,FY2018 Q3,20180201,20180225
02/26/2018,FY2018,FY2018 Q3,01-02-2018,2018-02-26
2018-02-27,FY2018,FY2018 Q3,20180201,20180227
28-02-2018,FY2018,FY2018 Q3,20180201,28-02-2018
2018-03-01 00:00:00,FY2018,FY2018 Q3,01-03-2018,2018-03-01
03/02/2018,FY2018,FY2018 Q3,"Mar 01, 2018","Mar 02, 2018"
"Mar 03, 2018",FY2018,FY2018 Q3,03/01/2018,03-03-2018
04-03-2018,FY2018,FY2018 Q3,2018-03-01 00:00:00,2018-03-04 00:00:00
2018-03-05,FY2018,FY2018 Q3,20180301,2018-03-05 00:00:00
06-03-2018,FY2018,FY2018 Q3,03/01/2018,03/06/2018
07-03-2018,FY2018,,"Mar 01, 2018",2018-03-07 00:00:00
2018-03-08,FY2018,FY2018 Q3,2018-03-01 00:00:00,03/08/2018
2018-03-09,FY2018,FY2018 Q3,20180301,2018-03-09 00:00:00
03/10/2018,FY2018,FY2018 Q3,"Mar 01, 2018",2018-03-10
11-03-2018,FY2018,FY2018 Q3,2018-03-01,11-03-2018
03/12/2018,FY2018,FY2018 Q3,03/01/2018,"Mar 12, 2018"
13-03-2018,2018,FY2018 Q3,03/01/2018,20180313
20180314,FY2018,FY2018 Q3,2018-03-01 00:00:00,2018-03-14 00:00:00
2018-03-15,FY2018,FY2018 Q3,20180301,03/15/2018
2018-03-16,2018,FY2018 Q3,2018-03-01 00:00:00,20180316
20180317,FY2018,FY2018 Q3,03/01/2018,"Mar 17, 2018"
"Mar 18, 2018",FY2018,FY2018 Q3,2018-03-01 00:00:00,2018-03-18
"Mar 19, 2018",FY2018,FY2018 Q3,03/01/2018,03/19/2018
20180320,FY2018,FY2018 Q3,2018-03-01 00:00:00,2018-03-20
2018-03-21 00:00:00,FY2018,FY2018 Q3,20180301,2018-03-21 00:00:00
22-03-2018,FY2018,FY2018 Q3,2018-03-01 00:00:00,"Mar 22, 2018"
2018-03-23,FY2018,FY2018 Q3,"Mar 01, 2018",2018-03-23
2018-03-24 00:00:00,FY-2018,FY2018 Q3,2018-03-01,24-03-2018
25-03-2018,FY2018,FY2018 Q3,"Mar 01, 2018",2018-03-25
2018-03-26,FY2018,FY2018 Q3,2018-03-01,"Mar 26, 2018"
03/27/2018,FY2018,FY2018 Q3,01-03-2018,2018-03-27 00:00:00
"Mar 28, 2018",FY2018,FY2018 Q3,01-03-2018,2018-03-28
2018-03-29 00:00:00,FY2018,FY2018 Q3,03/01/2018,2018-03-29 00:00:00
2018-03-30 00:00:00,FY2018,FY2018 Q3,2018-03-01 00:00:00,03/30/2018
2018-03-31,FY-2018,FY2018 Q3,"Mar 01, 2018",20180331
"Oct 01, 2017",FY2018,FY2018 Q2,10/01/2017,"Oct 01, 2017"
2017-10-02 00:00:00,2018,FY2018 Q2,01-10-2017,2017-10-02
03-10-2017,FY2018,FY2018 Q2,2017-10-01 00:00:00,2017-10-03
2017-10-04,FY2018,FY2018 Q2,"Oct 01, 2017",04-10-2017
"Oct 05, 2017",FY2018,FY2018 Q2,"Oct 01, 2017",20171005
2017-10-06,FY2018,FY2018 Q2,10/01/2017,"Oct 06, 2017"
07-10-2017,FY2018,FY2018 Q2,2017-10-01,2017-10-07
2017-10-08 00:00:00,FY2018,FY2018 Q2,10/01/2017,08-10-2017
2017-10-09,FY-2018,FY2018 Q2,2017-10-01,20171009
10-10-2017,FY-2018,FY2018 Q2,10/01/2017,2017-10-10 00:00:00
2017-10-11,FY2018,FY2018 Q2,20171001,11-10-2017
10/12/2017,FY-2018,FY2018 Q2,20171001,12-10-2017
2017-10-13,2018,FY2018 Q2,2017-10-01,"Oct 13, 2017"
2017-10-14 00:00:00,FY2018,FY2018 Q2,20171001,14-10-2017
2017-10-15,FY2018,FY2018 Q2,2017-10-01,2017-10-15
20171016,2018,FY2018 Q2,2017-10-01 00:00:00,16-10-2017
17-10-2017,FY2018,FY2018 Q2,10/01/2017,2017-10-17 00:00:00
2017-10-18 00:00:00,FY2018,FY2018 Q2,10/01/2017,"Oct 18, 2017"
2017-10-19,FY2018,FY2018 Q2,"Oct 01, 2017",2017-10-19
20-10-2017,FY2018,FY2018 Q2,01-10-2017,20-10-2017
2017-10-21 00:00:00,FY2018,,2017-10-01,2017-10-21
22-10-2017,FY2018,FY2018 Q2,2017-10-01 00:00:00,"Oct 22, 2017"
2017-10-23,2018,FY2018 Q2,20171001,10/23/2017
24-10-2017,FY2018,FY2018 Q2,"Oct 01, 2017","Oct 24, 2017"
20171025,FY2018,FY2018 Q2,20171001,25-10-2017
"Oct 26, 2017",FY2018,FY2018 Q2,20171001,10/26/2017
"Oct 27, 2017",FY2018,FY2018 Q2,2017-10-01,20171027
10/28/2017,FY2018,FY2018 Q2,10/01/2017,"Oct 28, 2017"
10/29/2017,FY2018,FY2018 Q2,"Oct 01, 2017","Oct 29, 2017"
10/30/2017,FY2018,,20171001,2017-10-30
20171031,FY2018,FY2018 Q2,01-10-2017,2017-10-31 00:00:00
20171101,FY2018,FY2018 Q2,"Nov 01, 2017",2017-11-01 00:00:00
2017-11-02 00:00:00,FY-2018,FY2018 Q2,2017-11-01,2017-11-02
"Nov 03, 2017",FY2018,FY2018 Q2,20171101,"Nov 03, 2017"
11/04/2017,FY2018,FY2018 Q2,11/01/2017,2017-11-04 00:00:00
20171105,FY2018,FY2018 Q2,20171101,11/05/2017
"Nov 06, 2017",FY2018,FY2018 Q2,2017-11-01 00:00:00,20171106
"Nov 07, 2017",FY2018,FY2018 Q2,2017-11-01 00:00:00,"Nov 07, 2017"
"Nov 08, 2017",FY2018,FY2018 Q2,01-11-2017,"Nov 08, 2017"
09-11-2017,FY-2018,FY2018 Q2,"Nov 01, 2017",2017-11-09
20171110,FY2018,FY2018 Q2,"Nov 01, 2017",2017-11-10
11/11/2017,2018,FY2018 Q2,2017-11-01,"Nov 11, 2017"
"Nov 12, 2017",2018,FY2018 Q2,2017-11-01,"Nov 12, 2017"
20171113,FY2018,FY2018 Q2,01-11-2017,20171113
"Nov 14, 2017",FY2018,FY2018 Q2,2017-11-01 00:00:00,2017-11-14 00:00:00
11/15/2017,FY2018,FY2018 Q2,2017-11-01,2017-11-15
2017-11-16,FY2018,FY2018 Q2,11/01/2017,2017-11-16 00:00:00
"Nov 17, 2017",FY2018,FY2018 Q2,"Nov 01, 2017",20171117
11/18/2017,FY2018,FY2018 Q2,2017-11-01,"Nov 18, 2017"
2017-11-19 00:00:00,FY2018,FY2018 Q2,20171101,2017-11-19
20-11-2017,FY2018,FY2018 Q2,20171101,20-11-2017
11/21/2017,2018,FY2018 Q2,"Nov 01, 2017",21-11-2017
11/22/2017,2018,FY2018 Q2,2017-11-01,2017-11-22
"Nov 23, 2017",FY2018,FY2018 Q2,11/01/2017,20171123
2017-11-24,FY2018,FY2018 Q2,"Nov 01, 2017",2017-11-24 00:00:00
20171125,FY2018,FY2018 Q2,"Nov 01, 2017",20171125
2017-11-26,FY2018,FY2018 Q2,2017-11-01 00:00:00,2017-11-26 00:00:00
27-11-2017,FY2018,FY2018 Q2,11/01/2017,20171127
20171128,FY2018,FY2018 Q2,20171101,2017-11-28
11/29/2017,FY2018,FY2018 Q2,"Nov 01, 2017",2017-11-29
20171130,FY2018,FY2018 Q2,2017-11-01 00:00:00,20171130
2017-12-01,FY2018,FY2018 Q2,12/01/2017,20171201
20171202,2018,FY2018 Q2,"Dec 01, 2017",2017-12-02 00:00:00
2017-12-03,FY2018,FY2018 Q2,2017-12-01 00:00:00,12/03/2017
12/04/2017,FY2018,FY2018 Q2,"Dec 01, 2017","Dec 04, 2017"
05-12-2017,FY-2018,FY2018 Q2,01-12-2017,05-12-2017
2017-12-06,FY2018,FY2018 Q2,2017-12-01 00:00:00,12/06/2017
12/07/2017,FY2018,,"Dec 01, 2017",2017-12-07
20171208,FY2018,FY2018 Q2,12/01/2017,20171208
12/09/2017,FY-2018,FY2018 Q2,2017-12-01,20171209
"Dec 10, 2017",FY2018,FY2018 Q2,"Dec 01, 2017",2017-12-10
11-12-2017,FY2018,FY2018 Q2,12/01/2017,"Dec 11, 2017"
"Dec 12, 2017",FY2018,FY2018 Q2,12/01/2017,2017-12-12
2017-12-13,FY2018,FY2018 Q2,20171201,13-12-2017
12/14/2017,FY-2018,FY2018 Q2,2017-12-01 00:00:00,2017-12-14 00:00:00
2017-12-15 00:00:00,FY2018,FY2018 Q2,"Dec 01, 2017","Dec 15, 2017"
16-12-2017,FY-2018,FY2018 Q2,2017-12-01,2017-12-16 00:00:00
"Dec 17, 2017",FY2018,FY2018 Q2,01-12-2017,17-12-2017
2017-12-18,FY2018,FY2018 Q2,20171201,"Dec 18, 2017"
"Dec 19, 2017",FY2018,FY2018 Q2,"Dec 01, 2017",12/19/2017
12/20/2017,2018,FY2018 Q2,01-12-2017,20-12-2017
20171221,FY2018,FY2018 Q2,12/01/2017,2017-12-21 00:00:00
20171222,FY2018,FY2018 Q2,"Dec 01, 2017",2017-12-22
"Dec 23, 2017",FY2018,FY2018 Q2,01-12-2017,23-12-2017
24-12-2017,FY2018,FY2018 Q2,12/01/2017,"Dec 24, 2017"
12/25/2017,FY2018,FY2018 Q2,20171201,2017-12-25 00:00:00
20171226,FY2018,FY2018 Q2,"Dec 01, 2017",20171226
27-12-2017,FY2018,FY2018 Q2,"Dec 01, 2017",20171227
12/28/2017,FY2018,FY2018 Q2,2017-12-01 00:00:00,2017-12-28 00:00:00
20171229,FY2018,FY2018 Q2,12/01/2017,2017-12-29 00:00:00
30-12-2017,FY2018,FY2018 Q2,12/01/2017,"Dec 30, 2017"
2017-12-31 00:00:00,2018,FY2018 Q2,12/01/2017,2017-12-31 00:00:00
2017-07-01 00:00:00,FY2018,FY2018 Q1,2017-07-01,01-07-2017
07/02/2017,FY2018,FY2018 Q1,20170701,2017-07-02 00:00:00
2017-07-03,2018,FY2018 Q1,07/01/2017,20170703
2017-07-04 00:00:00,FY2018,FY2018 Q1,2017-07-01 00:00:00,07/04/2017
05-07-2017,FY2018,FY2018 Q1,01-07-2017,05-07-2017
2017-07-06 00:00:00,FY2018,FY2018 Q1,"Jul 01, 2017",2017-07-06
07-07-2017,FY2018,FY2018 Q1,20170701,2017-07-07
2017-07-08 00:00:00,FY2018,FY2018 Q1,2017-07-01,07/08/2017
"Jul 09, 2017",FY2018,FY2018 Q1,2017-07-01 00:00:00,2017-07-09
10-07-2017,FY2018,FY2018 Q1,2017-07-01,07/10/2017
11-07-2017,FY2018,,01-07-2017,2017-07-11
20170712,FY2018,FY2018 Q1,20170701,12-07-2017
"Jul 13, 2017",FY2018,FY2018 Q1,2017-07-01 00:00:00,2017-07-13
2017-07-14,FY2018,FY2018 Q1,07/01/2017,2017-07-14 00:00:00
15-07-2017,FY2018,FY2018 Q1,07/01/2017,"Jul 15, 2017"
2017-07-16,FY2018,FY2018 Q1,2017-07-01,20170716
"Jul 17, 2017",FY2018,FY2018 Q1,2017-07-01 00:00:00,2017-07-17
"Jul 18, 2017",FY2018,FY2018 Q1,20170701,20170718
19-07-2017,FY2018,FY2018 Q1,20170701,19-07-2017
2017-07-20,2018,FY2018 Q1,"Jul 01, 2017","Jul 20, 2017"
21-07-2017,2018,FY2018 Q1,2017-07-01,"Jul 21, 2017"
20170722,FY2018,FY2018 Q1,2017-07-01,"Jul 22, 2017"
2017-07-23 00:00:00,2018,FY2018 Q1,2017-07-01 00:00:00,20170723
07/24/2017,FY2018,FY2018 Q1,"Jul 01, 2017",07/24/2017
2017-07-25 00:00:00,FY2018,FY2018 Q1,01-07-2017,07/25/2017
2017-07-26,FY2018,FY2018 Q1,20170701,2017-07-26 00:00:00
"Jul 27, 2017",FY2018,FY2018 Q1,20170701,27-07-2017
20170728,FY2018,FY2018 Q1,2017-07-01,"Jul 28, 2017"
"Jul 29, 2017",FY2018,FY2018 Q1,2017-07-01,29-07-2017
"Jul 30, 2017",FY2018,FY2018 Q1,01-07-2017,2017-07-30 00:00:00
"Jul 31, 2017",FY2018,FY2018 Q1,2017-07-01 00:00:00,20170731
20170801,FY2018,,2017-08-01,20170801
20170802,FY2018,FY2018 Q1,08/01/2017,02-08-2017
08/03/2017,2018,FY2018 Q1,"Aug 01, 2017",2017-08-03 00:00:00
08/04/2017,FY2018,FY2018 Q1,2017-08-01,2017-08-04
2017-08-05 00:00:00,FY2018,FY2018 Q1,01-08-2017,"Aug 05, 2017"
2017-08-06,FY2018,FY2018 Q1,01-08-2017,06-08-2017
08/07/2017,FY2018,FY2018 Q1,20170801,"Aug 07, 2017"
08/08/2017,2018,FY2018 Q1,2017-08-01,08-08-2017
2017-08-09,FY2018,FY2018 Q1,08/01/2017,"Aug 09, 2017"
10-08-2017,FY2018,FY2018 Q1,2017-08-01,08/10/2017
08/11/2017,2018,FY2018 Q1,"Aug 01, 2017",08/11/2017
08/12/2017,FY2018,FY2018 Q1,08/01/2017,12-08-2017
08/13/2017,FY2018,FY2018 Q1,20170801,2017-08-13
08/14/2017,FY2018,FY2018 Q1,08/01/2017,"Aug 14, 2017"
2017-08-15 00:00:00,FY2018,FY2018 Q1,01-08-2017,"Aug 15, 2017"
"Aug 16, 2017",FY-2018,FY2018 Q1,"Aug 01, 2017",2017-08-16
"Aug 17, 2017",FY2018,FY2018 Q1,20170801,2017-08-17
2017-08-18 00:00:00,FY2018,FY2018 Q1,01-08-2017,2017-08-18
08/19/2017,FY2018,FY2018 Q1,"Aug 01, 2017",08/19/2017
2017-08-20,2018,FY2018 Q1,01-08-2017,20170820
2017-08-21 00:00:00,FY2018,FY2018 Q1,20170801,08/21/2017
"Aug 22, 2017",FY2018,FY2018 Q1,08/01/2017,08/22/2017
20170823,FY2018,FY2018 Q1,08/01/2017,23-08-2017
2017-08-24,FY2018,FY2018 Q1,20170801,"Aug 24, 2017"
08/25/2017,FY-2018,FY2018 Q1,"Aug 01, 2017",08/25/2017
26-08-2017,FY2018,FY2018 Q1,2017-08-01 00:00:00,08/26/2017
2017-08-27,FY2018,FY2018 Q1,"Aug 01, 2017",20170827
"Aug 28, 2017",FY2018,FY2018 Q1,20170801,20170828
2017-08-29 00:00:00,FY-2018,FY2018 Q1,2017-08-01 00:00:00,2017-08-29 00:00:00
2017-08-30 00:00:00,FY2018,FY2018 Q1,2017-08-01,20170830
2017-08-31 00:00:00,FY2018,FY2018 Q1,20170801,2017-08-31
09/01/2017,FY2018,FY2018 Q1,09/01/2017,"Sep 01, 2017"
20170902,FY-2018,FY2018 Q1,09/01/2017,02-09-2017
2017-09-03,2018,FY2018 Q1,20170901,"Sep 03, 2017"
04-09-2017,FY-2018,FY2018 Q1,20170901,04-09-2017
2017-09-05,FY2018,FY2018 Q1,20170901,2017-09-05 00:00:00
2017-09-06,FY2018,FY2018 Q1,2017-09-01,09/06/2017
07-09-2017,FY2018,FY2018 Q1,2017-09-01 00:00:00,20170907
09/08/2017,FY2018,FY2018 Q1,20170901,"Sep 08, 2017"
"Sep 09, 2017",2018,FY2018 Q1,09/01/2017,09/09/2017
20170910,2018,FY2018 Q1,"Sep 01, 2017",09/10/2017
20170911,2018,FY2018 Q1,2017-09-01 00:00:00,"Sep 11, 2017"
20170912,FY2018,FY2018 Q1,2017-09-01 00:00:00,2017-09-12 00:00:00
"Sep 13, 2017",2018,FY2018 Q1,01-09-2017,2017-09-13 00:00:00
14-09-2017,FY2018,FY2018 Q1,2017-09-01 00:00:00,14-09-2017
20170915,FY2018,FY2018 Q1,2017-09-01,2017-09-15 00:00:00
2017-09-16,FY2018,FY2018 Q1,2017-09-01 00:00:00,16-09-2017
20170917,FY2018,FY2018 Q1,09/01/2017,17-09-2017
2017-09-18 00:00:00,2018,FY2018 Q1,20170901,09/18/2017
09/19/2017,FY2018,FY2018 Q1,"Sep 01, 2017",2017-09-19 00:00:00
20170920,2018,FY2018 Q1,"Sep 01, 2017",20-09-2017
2017-09-21,FY2018,FY2018 Q1,"Sep 01, 2017",21-09-2017
2017-09-22 00:00:00,FY2018,FY2018 Q1,2017-09-01,"Sep 22, 2017"
09/23/2017,FY-2018,FY2018 Q1,20170901,09/23/2017
20170924,FY2018,FY2018 Q1,01-09-2017,2017-09-24
25-09-2017,FY2018,FY2018 Q1,20170901,09/25/2017
20170926,FY2018,FY2018 Q1,01-09-2017,"Sep 26, 2017"
2017-09-27 00:00:00,FY2018,FY2018 Q1,2017-09-01,2017-09-27 00:00:00
"Sep 28, 2017",FY2018,FY2018 Q1,2017-09-01 00:00:00,2017-09-28
"Sep 29, 2017",FY2018,FY2018 Q1,20170901,2017-09-29
20170930,FY2018,FY2018 Q1,"Sep 01, 2017",2017-09-30
20180701,2019,FY2019 Q1,"Jul 01, 2018",01-07-2018
07/02/2018,FY2019,FY2019 Q1,01-07-2018,2018-07-02 00:00:00
20180703,FY-2019,FY2019 Q1,2018-07-01 00:00:00,03-07-2018
"Jul 04, 2018",FY2019,FY2019 Q1,07/01/2018,20180704
2018-07-05,2019,FY2019 Q1,20180701,20180705
